Instance_number,COLLISION_CLASSIFICATION,X,Y,Cluster
373,Injury,369023.4688,5027799.5,cluster1
374,'P.D. only',366765.0938,5029854,cluster1
375,Injury,364947,5029725.5,cluster1
376,'P.D. only',379776.0625,5033654,cluster4
377,'P.D. only',373625.0938,5028295.5,cluster1
378,'P.D. only',352431.4375,5017200.5,cluster2
379,'P.D. only',351711.375,5019145.5,cluster2
380,'P.D. only',375191.7813,5026220,cluster1
381,'P.D. only',367111.3125,5022083.5,cluster3
382,'P.D. only',348803.6875,5014366.5,cluster2
383,'P.D. only',362939.0313,5023650.5,cluster3
384,'P.D. only',374437.6563,5032576,cluster1
385,'P.D. only',363155.25,5016561,cluster0
386,'P.D. only',366990.9063,5031077.5,cluster1
387,'P.D. only',349839.1563,5012560.5,cluster2
388,'P.D. only',368410.625,5025056.5,cluster3
389,'P.D. only',356787.0313,5015896.5,cluster2
390,'P.D. only',372609.375,5030572.5,cluster1
391,'P.D. only',361355,5025465.5,cluster3
392,'P.D. only',367440,5025179.5,cluster3
393,'P.D. only',370753.0625,5030796,cluster1
394,'P.D. only',362924.6563,5023059.5,cluster3
395,'P.D. only',356769.0625,5015929,cluster2
396,'P.D. only',383949.0625,5036162.5,cluster4
397,'P.D. only',385174.9688,5037687.5,cluster4
398,'P.D. only',374640.125,5033001,cluster1
399,'P.D. only',374157.5938,5024486.5,cluster1
400,'P.D. only',354291.7188,5015131,cluster2
401,'P.D. only',366494.9063,5025231,cluster3
402,'P.D. only',369654.8125,5033359.5,cluster1
403,'P.D. only',383640.9688,5036900.5,cluster4
404,'P.D. only',356775.3438,5015894.5,cluster2
405,'P.D. only',380659.625,5037001,cluster4
406,'P.D. only',363418.7813,5021826,cluster3
407,'P.D. only',369247.9063,5025304,cluster3
408,'P.D. only',359378.0938,5023369,cluster3
409,Injury,365086.5938,5017904.5,cluster3
410,'P.D. only',365350.5,5028002,cluster3
411,'P.D. only',370767.8438,5035083,cluster1
412,'P.D. only',364633.4688,5014954,cluster0
413,'P.D. only',362280,5024447,cluster3
414,'P.D. only',365612.6875,5021950,cluster3
415,'P.D. only',338127.125,5022179,cluster2
416,'P.D. only',360494.875,5024940.5,cluster3
417,'P.D. only',386600.9375,5037529.5,cluster4
418,'P.D. only',368244.625,5030398,cluster1
419,Injury,375048.4063,5022246,cluster3
420,'P.D. only',366897.125,5028778.5,cluster1
421,'P.D. only',366929.1875,5031427,cluster1
422,'P.D. only',370888.3125,5030561,cluster1
423,'P.D. only',367561.4063,5029830,cluster1
424,'P.D. only',367570.2188,5029036,cluster1
425,'P.D. only',369653.7188,5027429.5,cluster1
426,'P.D. only',375072,5031074,cluster1
427,'P.D. only',369432.6563,5027758,cluster1
428,Injury,371923.5313,5032894.5,cluster1
429,'P.D. only',370446.6875,5031751.5,cluster1
430,'P.D. only',356744.7188,5006643.5,cluster0
431,Injury,374647.625,5032996,cluster1
432,'P.D. only',364283.7813,5027488.5,cluster3
433,'P.D. only',336071.5,5016243,cluster2
434,Injury,368038.5,5021946.5,cluster3
435,'P.D. only',365789.1875,5021036.5,cluster3
436,'P.D. only',375534.0938,5034823,cluster4
437,'P.D. only',379248.8438,5037714.5,cluster4
438,'P.D. only',372457.5313,5022902.5,cluster3
439,'P.D. only',372650.7188,5032413,cluster1
440,'P.D. only',368443.375,5030401,cluster1
441,'P.D. only',379961.1875,5031604,cluster4
442,'P.D. only',353653.4063,5016181.5,cluster2
443,'P.D. only',363118.9688,5024044.5,cluster3
444,'P.D. only',363411.1563,5023321.5,cluster3
445,'P.D. only',368321.3438,5032195.5,cluster1
446,'P.D. only',385821.8438,5036716.5,cluster4
447,'P.D. only',368451.4063,5030400,cluster1
448,'P.D. only',367297.9063,5029405.5,cluster1
449,'P.D. only',375210.0625,5028756,cluster1
450,'P.D. only',365166.7813,5029232,cluster1
451,'P.D. only',366965.9063,5030478.5,cluster1
452,'P.D. only',363528.5938,5021581,cluster3
453,'P.D. only',364932.4063,5029150.5,cluster1
454,'P.D. only',355248.9063,5024780,cluster3
455,Injury,365793.5625,5028266.5,cluster1
456,'P.D. only',363120.5313,5022571.5,cluster3
457,'P.D. only',363100.0625,5026102,cluster3
458,'P.D. only',368682.7188,5027496.5,cluster1
459,'P.D. only',365166.6875,5017700,cluster3
460,'P.D. only',350145.625,5017680.5,cluster2
461,'P.D. only',364653.9063,5024671.5,cluster3
462,'P.D. only',372145.8125,5034112,cluster1
463,'P.D. only',364474.8438,5016933,cluster0
464,Injury,365528.8125,5015322,cluster0
465,'P.D. only',369981.3438,5026886,cluster1
466,'P.D. only',363275.5,5025668.5,cluster3
467,'P.D. only',366872.8125,5026440.5,cluster3
468,'P.D. only',368642.4375,5032188.5,cluster1
469,'P.D. only',365083.9063,5017905.5,cluster3
470,'P.D. only',363275.5,5025667,cluster3
471,'P.D. only',383611.2813,5036950.5,cluster4
472,'P.D. only',373967.3125,5027941.5,cluster1
473,'P.D. only',352840.7188,5020477.5,cluster2
474,'P.D. only',368370.9063,5028513.5,cluster1
475,Injury,365234.875,5023258.5,cluster3
476,'P.D. only',368131.8125,5026632,cluster3
477,'P.D. only',364952,5025875,cluster3
478,'P.D. only',365592.1875,5022359.5,cluster3
479,'P.D. only',371931.3438,5026891.5,cluster1
480,'P.D. only',371155.0938,5026060,cluster1
481,'P.D. only',370690.125,5030598,cluster1
482,'P.D. only',381594.75,5038189,cluster4
483,'P.D. only',356014.375,5016524,cluster2
484,'P.D. only',361682.875,5020052,cluster3
485,'P.D. only',367740.2188,5030458.5,cluster1
486,Injury,366334.1875,5030080,cluster1
487,'P.D. only',367262.2188,5031638,cluster1
488,'P.D. only',368250,5032158,cluster1
489,'P.D. only',364866.6875,5030131,cluster1
490,Injury,370568.5938,5033462.5,cluster1
491,'P.D. only',384337.4688,5040028,cluster4
492,'P.D. only',375414.4375,5034029,cluster1
493,'P.D. only',373570.625,5029261,cluster1
494,'P.D. only',377192.7188,5032177,cluster4
495,'P.D. only',379680.3125,5014783,cluster0
496,'P.D. only',368612.5313,5022283.5,cluster3
497,Injury,370334.25,5025950.5,cluster3
498,'P.D. only',367957.6875,5032640.5,cluster1
499,'P.D. only',366490.0938,5029113,cluster1
500,'P.D. only',373165.4063,5029855.5,cluster1
501,'P.D. only',383963.4375,5036161,cluster4
502,'P.D. only',370495.5313,5025589,cluster3
503,'P.D. only',371727.5313,5024674,cluster3
504,Injury,359378.125,5021824,cluster3
505,'P.D. only',369177.9063,5031338,cluster1
506,Injury,357145.6563,5018153,cluster2
507,'P.D. only',365418.9063,5029303.5,cluster1
508,Injury,379679.75,5036700,cluster4
509,'P.D. only',374004.3438,5032897.5,cluster1
510,'P.D. only',370224.0938,5032693.5,cluster1
511,'P.D. only',344079.5313,5023493,cluster2
512,'P.D. only',364536.4688,5025001.5,cluster3
513,'P.D. only',364978.125,5015512,cluster0
514,'P.D. only',370225,5032692,cluster1
515,Injury,370988.9375,5033544,cluster1
516,'P.D. only',366524.2813,5030113,cluster1
517,'P.D. only',368290.8125,5032757,cluster1
518,Injury,385832.375,5004371,cluster0
519,'P.D. only',368253.1875,5032825,cluster1
520,'P.D. only',370953.7813,5023672.5,cluster3
521,'P.D. only',350242,5012064.5,cluster2
522,'P.D. only',380354.75,5034572.5,cluster4
523,'P.D. only',362859.0938,5021511,cluster3
524,'P.D. only',367367.4063,5031700.5,cluster1
525,'P.D. only',363685.1563,5017103.5,cluster0
526,'P.D. only',369599.4063,5033916,cluster1
527,'P.D. only',374026.1563,5027737,cluster1
528,'P.D. only',371847.5938,5030815.5,cluster1
529,'P.D. only',349861.9063,5023400,cluster2
530,'P.D. only',364256.375,5027215,cluster3
531,'P.D. only',377916.3438,4999280.5,cluster0
532,'P.D. only',348524.9688,5013939,cluster2
533,Injury,360261.5625,5022344.5,cluster3
534,'P.D. only',369780.75,5023833.5,cluster3
535,Injury,371772.125,5026805.5,cluster1
536,'P.D. only',367409.5,5031135,cluster1
537,Injury,365278.4688,5025476.5,cluster3
538,'P.D. only',374672.0625,5028496.5,cluster1
539,'P.D. only',366343.1875,4999478,cluster0
540,'P.D. only',363444.3125,5024852,cluster3
541,'P.D. only',374045.8125,5034364.5,cluster1
542,'P.D. only',366965.2188,5025390,cluster3
543,'P.D. only',376287.0313,5031840.5,cluster1
544,'P.D. only',368620.0938,5030491.5,cluster1
545,'P.D. only',351313.9688,5019664,cluster2
546,'P.D. only',363180.6875,5026641.5,cluster3
547,'P.D. only',370317.0938,5032276,cluster1
548,'P.D. only',360639.9375,5022608,cluster3
549,'P.D. only',349421.875,5014330.5,cluster2
550,'P.D. only',371527.1563,5012019.5,cluster0
551,Injury,368228.9063,5030753.5,cluster1
552,Injury,360294.375,5024972,cluster3
553,'P.D. only',380415.0313,5012863.5,cluster0
554,'P.D. only',375355.375,5016086,cluster0
555,Injury,360536.5625,5023308,cluster3
556,'P.D. only',375870.5,5007854.5,cluster0
557,'P.D. only',348755.8125,5014017,cluster2
558,'P.D. only',349923.3438,5025380,cluster2
559,'P.D. only',353151.5625,5018336.5,cluster2
560,'P.D. only',374678.4375,5028500,cluster1
561,'P.D. only',369763.1563,5026188,cluster3
562,Injury,352837.125,5016882.5,cluster2
563,'P.D. only',337653.6875,5017595,cluster2
564,'P.D. only',360550.1875,5025273,cluster3
565,'P.D. only',351556.3125,5017865.5,cluster2
566,'P.D. only',350637.7188,5015346.5,cluster2
567,'P.D. only',350495,5022709.5,cluster2
568,'P.D. only',360563.4688,5023128,cluster3
569,'P.D. only',347882.9063,5023410.5,cluster2
570,'P.D. only',361522.875,5026221.5,cluster3
